current_date,台中,嘉義,永康,台南,高雄
12-21_04,30.65,27.25,29.12,29.38,27.74
12-21_05,31.38,28.23,29.84,29.49,28.06
12-21_06,31.4,28.43,29.64,29.21,28.16
12-21_07,30.25,27.69,28.43,28.44,27.81
12-21_08,28.72,26.15,26.35,26.57,26.63
12-21_09,26.19,23.63,23.99,24.04,24.87
12-21_10,24.58,22,22.84,22.59,23.77
12-21_11,23.02,20.69,22.03,22.15,23.26
12-21_12,22.13,20.03,21.48,21.57,22.66
12-21_13,22.2,19.58,20.68,20.87,21.97
12-21_14,21.78,19.15,20.4,20.46,21.36
12-21_15,21.64,18.61,20.01,20.08,20.86
12-21_16,21.61,18.36,19.73,19.79,20.54
12-21_17,21.53,18.15,19.43,19.54,20.21
12-21_18,21.44,18.2,19.34,19.26,19.93
12-21_19,21.45,18.24,19.12,19.02,19.61
12-21_20,21.82,18.61,19.19,19.11,19.33
12-21_21,21.66,19.07,19.31,19.18,19.06
12-21_22,21.96,19.47,19.77,19.55,18.78
12-21_23,22.17,19.7,20.36,20.19,19.04
12-22_00,23.67,21.45,22.64,22.5,21.53
12-22_01,25.59,22.7,24.32,24.3,24.44
12-22_02,26.42,24.41,25.95,26.02,26.76
12-22_03,26.99,25.67,27.25,27.29,28.36
12-22_04,26.87,26.6,28.38,28.39,29.43
12-22_05,26.52,27.2,29.18,29.28,30.07
12-22_06,26.28,26.91,29.44,29.47,29.89
12-22_07,25.73,25.7,28.92,28.55,28.83
12-22_08,24,23.36,27.05,26.82,27.73
12-22_09,22.87,22,24.52,24.61,26.03
12-22_10,21.57,20.5,23.25,23.33,24.83
12-22_11,21.02,19.88,22.15,22.25,24.18
12-22_12,20.45,19.4,21.52,21.53,23.36
12-22_13,19.98,18.91,20.99,21.02,22.89
12-22_14,19.62,18.45,20.63,20.59,22.31
12-22_15,19.26,17.72,20.17,20.18,21.97
12-22_16,18.96,17.16,19.83,19.85,21.45
12-22_17,18.66,16.73,19.1,19.2,21.28
12-22_18,18.37,16.41,18.62,18.72,20.49
12-22_19,18.13,16.11,18.23,18.36,19.86
12-22_20,17.97,15.85,17.91,18.08,19.34
12-22_21,17.87,15.55,17.69,17.79,19.26
12-22_22,17.87,15.31,17.46,17.61,19.41
12-22_23,18.22,15.43,17.52,17.7,19.25
12-23_00,20.04,17.11,18.93,19.23,20.51
12-23_01,22.33,18.79,18.11,17.27,18.56
12-23_02,24.55,20.92,21.07,18.1,19.47
12-23_03,26.29,22.91,21.58,18.41,20.9
12-23_04,27.52,24.52,23.86,23.34,23.81
12-23_05,28.03,25.14,25.76,25.31,24.73
12-23_06,27.65,25.49,26.29,26.07,24.72
12-23_07,26.75,25.42,26.09,25.96,24.11
12-23_08,25.33,24.67,25.18,25.01,23.45
12-23_09,23.03,22.53,23.1,22.98,22.48
12-23_10,21.26,20.88,21.71,21.66,21.29
12-23_11,20.13,19.49,20.95,20.82,20.67
12-23_12,19.76,18.77,20.22,20.13,20.1
12-23_13,19.5,18.1,19.52,19.41,19.55
12-23_14,19.19,17.6,18.9,18.77,19.32
12-23_15,18.91,17.18,18.34,18.2,18.71
12-23_16,18.7,16.85,17.96,17.82,18.4
12-23_17,18.53,16.55,17.63,17.52,18.26
